,year,where_coordinates,total_deaths,Item,Value,Cholera case fatality rate,Gross national income per capita (Atlas method),Number of cases of visceral leishmaniasis reported,Number of deaths among children 5 to 14 years of age,Number of diarrhoea deaths from inadequate water,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),Total fertility rate (per woman),Total number of notified TB cases
3021,2008,Yei district,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3028,2008,Maridi district,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3023,2008,Yei district,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
715,2008,Darfur,8.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3513,2008,Abu Jabrah village,55.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3512,2008,Abu Jabrah village,55.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3037,2008,Maridi district,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3036,2008,Maridi district,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3035,2008,Maridi district,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3034,2008,Maridi district,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3022,2008,Yei district,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3033,2008,Yambio district,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3031,2008,Maridi district,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3030,2008,Maridi district,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3029,2008,Maridi district,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3027,2008,Mboroko village,40.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3026,2008,Mboroko village,40.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3025,2008,Maridi district,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3024,2008,Maridi district,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3032,2008,Yambio district,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
717,2008,Atrun area,17.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
712,2008,Aro Sharow IDP camp,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
711,2008,Aro Sharow IDP camp,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1527,2008,Silea town,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1528,2008,Sudan-Chad border in Darfur,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1529,2008,Sudan-Chad border in Darfur,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1530,2008,Aro Sharow IDP camp,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1531,2008,Aro Sharow IDP camp,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1532,2008,Darfur,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1533,2008,Darfur,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1534,2008,Khartoum city,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1535,2008,Khartoum city,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1536,2008,Abyei town,15.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1537,2008,Abyei town,15.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1538,2008,Nyala town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1539,2008,Nyala town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1540,2008,Nyala town,33.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1541,2008,Nyala town,33.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1542,2008,Al-Fashir town,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1543,2008,Al-Fashir town,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
714,2008,Western Darfur state,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3577,2008,Muhajiriya town,41.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1526,2008,Silea town,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1525,2008,Geneina town,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1524,2008,Geneina town,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1523,2008,Silea town,20.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
713,2008,Western Darfur state,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3008,2008,Southern Sudan,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3007,2008,Kajo Keji town,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3006,2008,Kajo Keji town,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3420,2008,Amiel Pakam village,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1506,2008,Geneina town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1507,2008,Geneina town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1509,2008,Geneina town,24.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1511,2008,Sirba town,42.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3009,2008,Southern Sudan,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1512,2008,Abu Surug village,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1514,2008,Sirba town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1515,2008,Sirba town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1516,2008,Silea town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1517,2008,Silea town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1518,2008,Abu Surug village,30.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1519,2008,Abu Surug village,30.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1520,2008,Silea town,9.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1521,2008,Silea town,9.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1522,2008,Silea town,20.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1513,2008,Abu Surug village,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1508,2008,Geneina town,24.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1510,2008,Sirba town,42.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
719,2008,Kafod town,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
547,2008,Western Darfur state,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
546,2008,Omdurman town,136.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3310,2008,Western Darfur state,9.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
998,2008,Um Keddada town,21.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
540,2008,Omdurman town,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
541,2008,Omdurman town,200.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
2905,2008,Western Darfur state,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3359,2008,Tomat village,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3360,2008,Tomat village,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3309,2008,Western Darfur state,9.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3361,2008,Southern Darfur state,35.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3362,2008,Southern Darfur state,35.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
999,2008,Um Keddada town,21.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3308,2008,Western Darfur state,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1162,2008,Moli village,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1161,2008,Moli village,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
532,2008,Aro Sharow IDP camp,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
531,2008,Aro Sharow IDP camp,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
530,2008,Western Darfur state,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
533,2008,Western Darfur state,19.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
528,2008,Jebel Mun area,23.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
527,2008,Jebel Mun area,23.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
526,2008,Southern Darfur state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
525,2008,Southern Darfur state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3363,2008,Southern Darfur state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3364,2008,Southern Darfur state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3307,2008,Western Darfur state,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
2906,2008,Western Darfur state,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1000,2008,Darfur,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1002,2008,Northern Darfur state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3315,2008,Al-Fashir town,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3316,2008,Al-Fashir town,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3317,2008,Muhajiriya town,40.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3318,2008,Muhajiriya town,40.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3319,2008,Zalingei town,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3320,2008,Zalingei town,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
534,2008,Western Darfur state,19.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
535,2008,Madu town,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
536,2008,Madu town,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
537,2008,Shegeg Karo village,13.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
538,2008,Shegeg Karo village,13.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
539,2008,Omdurman town,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1001,2008,Darfur,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1009,2008,El-Hilif town,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1007,2008,Northern Darfur state,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1006,2008,Northern Darfur state,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
550,2008,Northern Darfur state,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1005,2008,Tawila town,7.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1004,2008,Tawila town,7.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3314,2008,Bere village,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3313,2008,Bere village,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3312,2008,Southern Darfur state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3311,2008,Southern Darfur state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
549,2008,Northern Darfur state,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
548,2008,Western Darfur state,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1003,2008,Northern Darfur state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1008,2008,El-Hilif town,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
2907,2008,Southern Kordofan state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
529,2008,Western Darfur state,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
542,2008,Omdurman town,200.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
733,2008,Kutum town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
734,2008,Kutum town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
735,2008,Disa town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
736,2008,Disa town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
737,2008,Birmaza town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
738,2008,Birmaza town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
524,2008,Abu Surug village,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
523,2008,Abu Surug village,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
522,2008,Sirf Jaj area,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
521,2008,Sirf Jaj area,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
520,2008,Zalingei town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
517,2008,Geneina town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
519,2008,Zalingei town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
740,2008,Northern Darfur state,21.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
741,2008,Northern Darfur state,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
742,2008,Northern Darfur state,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
518,2008,Geneina town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
2908,2008,Southern Kordofan state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
743,2008,Korbia town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
744,2008,Korbia town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
745,2008,Northern Darfur state,4.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
746,2008,Northern Darfur state,4.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
747,2008,El-Hilif town,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
748,2008,El-Hilif town,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
739,2008,Northern Darfur state,21.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
731,2008,Western Darfur state,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
732,2008,Western Darfur state,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1121,2008,Eastern Equatoria state,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
720,2008,Kafod town,1.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
721,2008,Abu Hamra town,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
722,2008,Abu Hamra town,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
723,2008,Disa town,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
724,2008,Disa town,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
725,2008,Birmaza town,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
543,2008,Omdurman town,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
726,2008,Birmaza town,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
727,2008,Tawila town,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
544,2008,Omdurman town,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1120,2008,Eastern Equatoria state,1.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
718,2008,Atrun area,17.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
545,2008,Omdurman town,136.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
728,2008,Tawila town,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
729,2008,Jebel Marra area,5.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
730,2008,Jebel Marra area,5.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1129,2008,Sakure village,0.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1128,2008,Sakure village,0.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1127,2008,Nimule town,3.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1126,2008,Nimule town,3.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1125,2008,Southern Sudan,2.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1124,2008,Southern Sudan,2.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1123,2008,Nabanga village,15.0,GDP Deflator,80.6746050308,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
1122,2008,Nabanga village,15.0,GDP Deflator,27.9838273473,0,,3310.0,5447.06174.011621.0,,37.7191237.1672838.2483,,25444.0
3059,2009,Mundri West district,1.0,GDP Deflator,73.5550810898,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3091,2009,Bandima town,12.0,GDP Deflator,73.5550810898,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3092,2009,Nabanga village,1.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3060,2009,Garyia village,2.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3072,2009,Mboroko village,0.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3062,2009,Yambio district,25.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3083,2009,Yei town,6.0,GDP Deflator,73.5550810898,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3084,2009,Kirkwat village,4.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3090,2009,Bandima town,12.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3089,2009,Yei district,7.0,GDP Deflator,73.5550810898,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3088,2009,Yei district,7.0,GDP Deflator,28.0944214190,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
3087,2009,Baruga location,2.0,GDP Deflator,73.5550810898,0,,4880.0,9923.05329.04594.0,,37.1606537.8242738.45777,,27037.0
