,year,where_coordinates,total_deaths,GDP Deflator Value
456,1998,Menze town,9.0,30.0401995192
455,1998,Blue Nile state,22.0,30.0401995192
454,1998,Qallabat town,20.0,30.0401995192
453,1998,Qallabat town,25.0,30.0401995192
452,1998,Kurmuk town,0.0,30.0401995192
447,1998,Kassala state,2.0,30.0401995192
450,1998,Kassala state,80.0,30.0401995192
451,1998,Kassala town,23.0,30.0401995192
449,1998,Kassala town,7.0,30.0401995192
276,1999,Karkaray town,10.0,28.2657996499
277,1999,Hajjar area,49.0,28.2657996499
278,1999,Nuba Mountains district,14.0,28.2657996499
497,1999,Kassala state,40.0,28.2657996499
279,1999,Yei town,3.0,28.2657996499
280,1999,Blue Nile state,149.0,28.2657996499
500,1999,Kassala town,2.0,28.2657996499
499,1999,Khartoum city,37.0,28.2657996499
498,1999,Kassala town,50.0,28.2657996499
275,1999,Sudan,0.0,28.2657996499
496,1999,Togan town,45.0,28.2657996499
490,1999,Kassala town,16.0,28.2657996499
494,1999,Kassala state,4.0,28.2657996499
482,1999,Eastern Sudan,56.0,28.2657996499
2587,1999,Bentiu town,0.0,28.2657996499
2586,1999,Leer town,0.0,28.2657996499
2585,1999,Longochok village,4.0,28.2657996499
2584,1999,Unity state,0.0,28.2657996499
2583,1999,Unity state,202.0,28.2657996499
483,1999,Gedaref state,15.0,28.2657996499
484,1999,Kassala state,2.0,28.2657996499
485,1999,Kassala town,1.0,28.2657996499
486,1999,Kassala town,4.0,28.2657996499
487,1999,Northeastern Sudan,20.0,28.2657996499
488,1999,Kassala town,10.0,28.2657996499
489,1999,Rassai Garrison,6.0,28.2657996499
281,1999,Blue Nile state,42.0,28.2657996499
491,1999,Rassai Garrison,64.0,28.2657996499
492,1999,Kassala state,26.0,28.2657996499
493,1999,Abu Gedaf area,3.0,28.2657996499
495,1999,Kassala town,7.0,28.2657996499
282,1999,Nuba Mountains district,6.0,28.2657996499
287,1999,Narus town,3.0,28.2657996499
2499,1999,Khartoum city,3.0,28.2657996499
2058,1999,Tingil town,0.0,28.2657996499
2059,1999,Tingil town,15.0,28.2657996499
1051,1999,Geneina town/Al-Junaynah town,0.0,28.2657996499
1052,1999,Bararud town,10.0,28.2657996499
1053,1999,Bahr al Ghazal,4.0,28.2657996499
1054,1999,Akoc town,35.0,28.2657996499
1055,1999,Wathmuok village,12.0,28.2657996499
1056,1999,Nuba Mountains district,19.0,28.2657996499
1057,1999,Nuba Mountains district,11.0,28.2657996499
1058,1999,Nuba Mountains district,9.0,28.2657996499
283,1999,Yei town,1.0,28.2657996499
297,1999,Southern Sudan,20.0,28.2657996499
296,1999,Blue Nile state,5.0,28.2657996499
295,1999,Southern Sudan,21.0,28.2657996499
294,1999,Upper Nile state,140.0,28.2657996499
293,1999,Akak town,1.0,28.2657996499
291,1999,Lainya town,0.0,28.2657996499
290,1999,Blue Nile state,120.0,28.2657996499
289,1999,Ulu town,136.0,28.2657996499
2518,1999,Geneina town/Al-Junaynah town,0.0,28.2657996499
2517,1999,Geneina town/Al-Junaynah town,0.0,28.2657996499
284,1999,Ulu town,12.0,28.2657996499
285,1999,Mayom district,47.0,28.2657996499
286,1999,Ulu town,83.0,28.2657996499
288,1999,Yei town,1.0,28.2657996499
2513,1999,Western Darfur state,0.0,28.2657996499
2514,1999,Western Darfur state,0.0,28.2657996499
292,1999,Loka town,0.0,28.2657996499
2516,1999,Geneina town/Al-Junaynah town,44.0,28.2657996499
2515,1999,Geneina town/Al-Junaynah town,5.0,28.2657996499
1068,2000,Upper Nile state,6.0,31.8665673083
1059,2000,Southern Sudan,16.0,31.8665673083
2061,2000,Parajok village,8.0,31.8665673083
1060,2000,Unity state,20.0,31.8665673083
1061,2000,Unity state,4.0,31.8665673083
1062,2000,Nuba Mountains district,25.0,31.8665673083
1063,2000,Tabanya town,4.0,31.8665673083
1064,2000,Upper Nile state,200.0,31.8665673083
1065,2000,Upper Nile state,0.0,31.8665673083
1066,2000,Kassala town,0.0,31.8665673083
2060,2000,Southern Sudan,6.0,31.8665673083
1067,2000,Bentiu town,6.0,31.8665673083
2567,2000,Mankien town,250.0,31.8665673083
505,2000,Rassai Garrison,30.0,31.8665673083
325,2000,Mapel town,5.0,31.8665673083
326,2000,Tonj town,5.0,31.8665673083
327,2000,Narus town,0.0,31.8665673083
328,2000,Mankien town,227.0,31.8665673083
330,2000,Northern Bahr-al-Ghazal state,4.0,31.8665673083
331,2000,Northeastern Sudan,2.0,31.8665673083
332,2000,Tali town,0.0,31.8665673083
333,2000,Terekeka town,0.0,31.8665673083
334,2000,Narus town,0.0,31.8665673083
335,2000,Yei town,0.0,31.8665673083
2565,2000,Bangar area,70.0,31.8665673083
2566,2000,Unity state,70.0,31.8665673083
336,2000,Ikotos town,4.0,31.8665673083
337,2000,Yirol town,0.0,31.8665673083
338,2000,Southern Kordofan state,1.0,31.8665673083
339,2000,Southern Kordofan state,1.0,31.8665673083
340,2000,Nagdiar town,1.0,31.8665673083
504,2000,Eastern Sudan,4.0,31.8665673083
503,2000,Kassala state,0.0,31.8665673083
512,2000,Kassala state,5.0,31.8665673083
511,2000,Kassala state,8.0,31.8665673083
510,2000,Kassala town,15.0,31.8665673083
509,2000,Kassala town,498.0,31.8665673083
508,2000,Kassala town,8.0,31.8665673083
507,2000,Rassai Garrison,110.0,31.8665673083
502,2000,Kassala town,162.0,31.8665673083
501,2000,Hamashkoreb area,2.0,31.8665673083
324,2000,Maban town,17.0,31.8665673083
323,2000,Aweil town,93.0,31.8665673083
329,2000,Narus town,1.0,31.8665673083
321,2000,Yei town,0.0,31.8665673083
2588,2000,Southern Kordofan state,11.0,31.8665673083
298,2000,Nuba Mountains district,15.0,31.8665673083
299,2000,Kassala state,4.0,31.8665673083
300,2000,Lui town,3.0,31.8665673083
301,2000,Yirol town,0.0,31.8665673083
302,2000,Southern Sudan,1.0,31.8665673083
506,2000,Rassai Garrison,30.0,31.8665673083
322,2000,Kajo Kaji town,0.0,31.8665673083
303,2000,Blue Nile state,80.0,31.8665673083
304,2000,Upper Nile state,4.0,31.8665673083
305,2000,Upper Nile state,5.0,31.8665673083
306,2000,Malakal town,4.0,31.8665673083
308,2000,Kadugli town,3.0,31.8665673083
307,2000,Sudan,0.0,31.8665673083
309,2000,Delami town,14.0,31.8665673083
320,2000,Blue Nile state,15.0,31.8665673083
310,2000,Eastern Sudan,301.0,31.8665673083
311,2000,Blue Nile state,197.0,31.8665673083
312,2000,Gogrial town,2.0,31.8665673083
313,2000,Upper Nile state,430.0,31.8665673083
314,2000,Bahr al Ghazal,1.0,31.8665673083
319,2000,Rumbek town,0.0,31.8665673083
315,2000,Gogrial town,1.0,31.8665673083
318,2000,Maban town,185.0,31.8665673083
317,2000,Rumbek town,0.0,31.8665673083
316,2000,Gogrial town,266.0,31.8665673083
374,2001,Nuba Mountains district,9.0,34.5237575405
375,2001,Upper Nile state,42.0,34.5237575405
386,2001,Bentiu town,150.0,34.5237575405
385,2001,Unity state,143.0,34.5237575405
384,2001,Unity state,143.0,34.5237575405
387,2001,Raga town,4.0,34.5237575405
383,2001,Western Bahr-al-Ghazal state,0.0,34.5237575405
377,2001,Nuba Mountains district,15.0,34.5237575405
381,2001,Tonga town,152.0,34.5237575405
380,2001,Fam al Zaraf town,25.0,34.5237575405
379,2001,Bahr al Ghazal,29.0,34.5237575405
378,2001,Raga town,7.0,34.5237575405
376,2001,Dari garrison,16.0,34.5237575405
388,2001,Raga town,0.0,34.5237575405
382,2001,Bahr al Ghazal,5.0,34.5237575405
389,2001,Northern Bahr-al-Ghazal state,0.0,34.5237575405
1072,2001,Chelkou village,2.0,34.5237575405
391,2001,Deim Zoubeir town,2.0,34.5237575405
2194,2001,Shoba town,15.0,34.5237575405
2193,2001,Karnoi wells,125.0,34.5237575405
373,2001,Upper Nile state,2.0,34.5237575405
858,2001,Lomariti village,26.0,34.5237575405
859,2001,Juba district,23.0,34.5237575405
1078,2001,Southern Kordofan state,1.0,34.5237575405
390,2001,Upper Nile state,103.0,34.5237575405
1077,2001,Southern Sudan,4.0,34.5237575405
1075,2001,Nuba Mountains district,6.0,34.5237575405
1074,2001,Marial Bai village,0.0,34.5237575405
1073,2001,Marial Bai village,11.0,34.5237575405
394,2001,Old Fangak town,124.0,34.5237575405
393,2001,Upper Nile state,130.0,34.5237575405
392,2001,Southern Kordofan state,3.0,34.5237575405
1076,2001,Khartoum city,1.0,34.5237575405
372,2001,Bahr al Ghazal,4.0,34.5237575405
364,2001,Nuba Mountains district,9.0,34.5237575405
370,2001,Raga town,0.0,34.5237575405
348,2001,Ad-Damazin town,70.0,34.5237575405
1069,2001,Blue Nile state,11.0,34.5237575405
2494,2001,Kornoi town,70.0,34.5237575405
1071,2001,Mabior town,2.0,34.5237575405
515,2001,Kassala state,30.0,34.5237575405
342,2001,Padok village,2.0,34.5237575405
516,2001,Aroma town,7.0,34.5237575405
349,2001,Nuba Mountains district,1.0,34.5237575405
371,2001,Wangkai town,48.0,34.5237575405
346,2001,Bentiu town,76.0,34.5237575405
345,2001,Ayod town,2.0,34.5237575405
344,2001,Southern Sudan,630.0,34.5237575405
343,2001,Upper Nile state,2.0,34.5237575405
2062,2001,Southern Sudan,2.0,34.5237575405
513,2001,Kassala town,11.0,34.5237575405
514,2001,Kassala town,3.0,34.5237575405
347,2001,Southern Sudan,17.0,34.5237575405
350,2001,Blue Nile state,187.0,34.5237575405
341,2001,Yomcir village,2.0,34.5237575405
352,2001,Aweil town,40.0,34.5237575405
362,2001,Kadugli town,1.0,34.5237575405
363,2001,Bararud town,2.0,34.5237575405
351,2001,Ad-Damazin town,2.0,34.5237575405
1070,2001,Blue Nile state,12.0,34.5237575405
365,2001,Nuba Mountains district,2.0,34.5237575405
366,2001,Wangkai town,150.0,34.5237575405
367,2001,Old Fangak town,15.0,34.5237575405
368,2001,Raga town,0.0,34.5237575405
361,2001,Wangkai town,244.0,34.5237575405
369,2001,Wangkai town,0.0,34.5237575405
360,2001,Bahr al Ghazal,0.0,34.5237575405
359,2001,Raga town,4.0,34.5237575405
358,2001,Western Bahr-al-Ghazal state,400.0,34.5237575405
357,2001,Tambura town,2.0,34.5237575405
356,2001,Nuba Mountains district,2.0,34.5237575405
355,2001,Chali village,150.0,34.5237575405
354,2001,Nuba Mountains district,0.0,34.5237575405
353,2001,Blue Nile state,150.0,34.5237575405
1083,2002,Rier town,6.0,37.5898684797
1084,2002,Rier town,20.0,37.5898684797
867,2002,Owiny-Ki-Bul village,67.0,37.5898684797
870,2002,Bahr-al-Jabal state,12.0,37.5898684797
869,2002,Palataka town,2.0,37.5898684797
868,2002,Magwi district,12.0,37.5898684797
866,2002,Katire town,18.0,37.5898684797
865,2002,Southern Sudan,0.0,37.5898684797
864,2002,Bahr-al-Jabal state,0.0,37.5898684797
863,2002,Bahr-al-Jabal state,10.0,37.5898684797
862,2002,Southern Sudan,4.0,37.5898684797
861,2002,Southern Sudan,20.0,37.5898684797
860,2002,Eastern Equatoria state,88.0,37.5898684797
872,2002,Southern Sudan,26.0,37.5898684797
1082,2002,Upper Nile state,1.0,37.5898684797
411,2002,Juba town,500.0,37.5898684797
1080,2002,Upper Nile state,2.0,37.5898684797
2195,2002,Shoba town,0.0,37.5898684797
395,2002,Upper Nile state,67.0,37.5898684797
396,2002,Upper Nile state,310.0,37.5898684797
397,2002,Nuba Mountains district,6.0,37.5898684797
398,2002,Akuem town,2.0,37.5898684797
399,2002,Bentiu town,300.0,37.5898684797
400,2002,Wau town,9.0,37.5898684797
401,2002,Rier town,0.0,37.5898684797
402,2002,Kapoeta town,200.0,37.5898684797
403,2002,Malualkon town,4.0,37.5898684797
404,2002,Ikotos town,0.0,37.5898684797
405,2002,Southern Sudan,0.0,37.5898684797
406,2002,Kapoeta town,9.0,37.5898684797
407,2002,Southern Sudan,33.0,37.5898684797
408,2002,Southern Sudan,12.0,37.5898684797
409,2002,Twic district,5.0,37.5898684797
410,2002,Torit town,500.0,37.5898684797
412,2002,Western Equatoria state,17.0,37.5898684797
413,2002,Yabus town,0.0,37.5898684797
414,2002,Rier town,0.0,37.5898684797
1079,2002,Biel town,24.0,37.5898684797
1081,2002,Upper Nile state,2.0,37.5898684797
2196,2002,Southern Darfur state,130.0,37.5898684797
871,2002,Southern Sudan,4.0,37.5898684797
2198,2002,Singita village,0.0,37.5898684797
2002,2002,Lafon town,0.0,37.5898684797
2003,2002,Pariang area,0.0,37.5898684797
2564,2002,Mankien town,82.0,37.5898684797
517,2002,Eastern Sudan,0.0,37.5898684797
2197,2002,Kidingir village,30.0,37.5898684797
2063,2002,Muluki town,3.0,37.5898684797
2064,2002,Katire town,350.0,37.5898684797
2000,2002,Torit town,25.0,37.5898684797
2066,2002,Muluki town,4.0,37.5898684797
2462,2002,Juba town,0.0,37.5898684797
2065,2002,Imatong location,120.0,37.5898684797
2001,2002,Eastern Equatoria state,0.0,37.5898684797
2406,2002,Adayla locality,0.0,37.5898684797
1108,2003,Murli village,72.0,41.2141405683
1107,2003,Darfur,0.0,41.2141405683
2209,2003,Silea town,8.0,41.2141405683
1085,2003,Darfur,0.0,41.2141405683
1086,2003,Western Darfur state,4.0,41.2141405683
1106,2003,Western Darfur state,2.0,41.2141405683
1087,2003,Western Darfur state,3.0,41.2141405683
1088,2003,Darfur,0.0,41.2141405683
1089,2003,Darfur,0.0,41.2141405683
1090,2003,Karnoi wells,0.0,41.2141405683
1091,2003,Kabkabiya locality,0.0,41.2141405683
1098,2003,Kabkabijah town,0.0,41.2141405683
1093,2003,Karnoi wells,2.0,41.2141405683
1105,2003,Southern Darfur state,150.0,41.2141405683
1104,2003,Karnoi wells,60.0,41.2141405683
1103,2003,Tukultukul town,8.0,41.2141405683
1102,2003,Geneina town/Al-Junaynah town,0.0,41.2141405683
1101,2003,Kasita village,28.0,41.2141405683
1094,2003,Gosa Naim village,0.0,41.2141405683
1095,2003,Western Darfur state,25.0,41.2141405683
1096,2003,Darfur,0.0,41.2141405683
1097,2003,Murli village,82.0,41.2141405683
1099,2003,Amir village,27.0,41.2141405683
1092,2003,Darfur,0.0,41.2141405683
2013,2003,Northern Darfur state,0.0,41.2141405683
2007,2003,Kulbus town,21.0,41.2141405683
2223,2003,Habillah town,80.0,41.2141405683
2222,2003,Darfur,0.0,41.2141405683
2221,2003,Darfur,0.0,41.2141405683
2220,2003,Habillah town,42.0,41.2141405683
2219,2003,Western Darfur state,6.0,41.2141405683
2218,2003,Nyala town,42.0,41.2141405683
2217,2003,Darfur,0.0,41.2141405683
2216,2003,Garadaya town,240.0,41.2141405683
2215,2003,Kutum town,32.0,41.2141405683
2214,2003,Darfur,0.0,41.2141405683
2213,2003,Kushkush town,11.0,41.2141405683
2210,2003,Darfur,0.0,41.2141405683
2212,2003,Western Darfur state,6.0,41.2141405683
2067,2003,Kuduo camp,4.0,41.2141405683
518,2003,Kulbus town,59.0,41.2141405683
519,2003,Geneina town/Al-Junaynah town,40.0,41.2141405683
520,2003,Karnoi wells,717.0,41.2141405683
521,2003,Darfur,25.0,41.2141405683
522,2003,Jebel Mun area,0.0,41.2141405683
415,2003,Tam village,44.0,41.2141405683
523,2003,Kulbus town,59.0,41.2141405683
2371,2003,Western Darfur state,186.0,41.2141405683
1109,2003,Western Darfur state,9.0,41.2141405683
2008,2003,Kulbus town,48.0,41.2141405683
2211,2003,Western Darfur state,0.0,41.2141405683
1110,2003,Kudun village,11.0,41.2141405683
1100,2003,Shoba town,42.0,41.2141405683
1112,2003,Mororo village,40.0,41.2141405683
875,2003,Southern Sudan,3.0,41.2141405683
874,2003,Southern Sudan,5.0,41.2141405683
873,2003,Southern Sudan,1.0,41.2141405683
601,2003,Tina village,43.0,41.2141405683
602,2003,Western Darfur state,0.0,41.2141405683
603,2003,Tina village,13.0,41.2141405683
604,2003,Disa town,200.0,41.2141405683
1111,2003,Western Darfur state,16.0,41.2141405683
606,2003,Northern Darfur state,35.0,41.2141405683
607,2003,Northern Darfur state,0.0,41.2141405683
608,2003,Western Darfur state,0.0,41.2141405683
600,2003,Kutum town,0.0,41.2141405683
609,2003,Geneina town/Al-Junaynah town,47.0,41.2141405683
611,2003,Tina village,96.0,41.2141405683
2208,2003,Northern Darfur state,1.0,41.2141405683
2207,2003,Ushara town,0.0,41.2141405683
2206,2003,Darfur,0.0,41.2141405683
2205,2003,Disa town,0.0,41.2141405683
2204,2003,Darfur,0.0,41.2141405683
2203,2003,Muli village,0.0,41.2141405683
2202,2003,Kornoi town,0.0,41.2141405683
2201,2003,Darfur,0.0,41.2141405683
2200,2003,Darfur,0.0,41.2141405683
2199,2003,Singita village,0.0,41.2141405683
610,2003,Tina village,257.0,41.2141405683
599,2003,Al-Fashir town,52.0,41.2141405683
605,2003,Darfur,0.0,41.2141405683
1125,2003,Northern Darfur state,0.0,41.2141405683
1121,2003,Darfur,0.0,41.2141405683
1122,2003,Mango town,5.0,41.2141405683
1123,2003,Mango town,5.0,41.2141405683
1124,2003,Western Darfur state,160.0,41.2141405683
1126,2003,Darfur,0.0,41.2141405683
1127,2003,Terchana village,53.0,41.2141405683
1128,2003,Haskanita town,35.0,41.2141405683
1129,2003,Terchana village,23.0,41.2141405683
1130,2003,Geneina town/Al-Junaynah town,50.0,41.2141405683
1132,2003,Domai Tamait village,17.0,41.2141405683
1131,2003,Kodoli town,24.0,41.2141405683
1113,2003,Darfur,0.0,41.2141405683
598,2003,Darfur,250.0,41.2141405683
1114,2003,Masteri village,6.0,41.2141405683
1119,2003,Mango town,5.0,41.2141405683
1118,2003,Mororo village,1.0,41.2141405683
1117,2003,Murnei village,82.0,41.2141405683
1116,2003,Haluffa village,24.0,41.2141405683
1115,2003,Geneina town/Al-Junaynah town,0.0,41.2141405683
1133,2003,Nouri village,170.0,41.2141405683
1120,2003,Beida town,5.0,41.2141405683
2076,2004,Rejaf town,7.0,48.8939153682
2074,2004,Torit town,25.0,48.8939153682
2075,2004,Southern Sudan,35.0,48.8939153682
2004,2004,Upper Nile state,2.0,48.8939153682
2403,2004,Juba district,7.0,48.8939153682
1219,2004,Umzaifa village,30.0,48.8939153682
1218,2004,Southern Darfur state,17.0,48.8939153682
1217,2004,Darfur,0.0,48.8939153682
1216,2004,Labado village,60.0,48.8939153682
1215,2004,Adwah village,200.0,48.8939153682
1214,2004,Adwah village,2.0,48.8939153682
1213,2004,Adwah village,0.0,48.8939153682
1212,2004,Northern Darfur state,2.0,48.8939153682
1211,2004,Akami Sara town,17.0,48.8939153682
1220,2004,Labado village,1.0,48.8939153682
2404,2004,Torit town,46.0,48.8939153682
2072,2004,Southern Sudan,15.0,48.8939153682
2407,2004,Adayla locality,0.0,48.8939153682
2005,2004,Kaka town,25.0,48.8939153682
2014,2004,Malam village,0.0,48.8939153682
2015,2004,Ambara town,1.0,48.8939153682
2016,2004,Darfur,0.0,48.8939153682
2017,2004,Labado village,0.0,48.8939153682
2018,2004,Malam village,3.0,48.8939153682
2019,2004,Tawila town,4.0,48.8939153682
2020,2004,Southern Darfur state,2.0,48.8939153682
2006,2004,Fallata town,6.0,48.8939153682
1210,2004,Ailliet town,26.0,48.8939153682
2068,2004,Lomiyega location,41.0,48.8939153682
2069,2004,Longairo town,1.0,48.8939153682
2070,2004,Logire town,9.0,48.8939153682
2071,2004,Juba district,25.0,48.8939153682
2073,2004,Southern Sudan,47.0,48.8939153682
2443,2004,Bakhiet village,1.0,48.8939153682
2408,2004,Adayla village,0.0,48.8939153682
2405,2004,Nimule town,0.0,48.8939153682
1209,2004,Aidam town,0.0,48.8939153682
1181,2004,Geneina town/Al-Junaynah town,24.0,48.8939153682
1207,2004,Darfur,0.0,48.8939153682
1143,2004,Jebel Mun area,0.0,48.8939153682
1142,2004,Jebel Marra area,75.0,48.8939153682
1141,2004,Gosa Naim village,15.0,48.8939153682
1140,2004,Karnoi wells,4.0,48.8939153682
1139,2004,Nyala town,8.0,48.8939153682
1138,2004,Darfur,0.0,48.8939153682
1137,2004,Southern Darfur state,250.0,48.8939153682
1136,2004,Ambara town,1.0,48.8939153682
1135,2004,Keinyo village,57.0,48.8939153682
1134,2004,Terbeba village,0.0,48.8939153682
1162,2004,Darfur,0.0,48.8939153682
1163,2004,Shilluk Kingdom,164.0,48.8939153682
1164,2004,Mukjar town,70.0,48.8939153682
1165,2004,Mukjar town,52.0,48.8939153682
1166,2004,Kalokitting town,1.0,48.8939153682
1161,2004,Shilluk Kingdom,36.0,48.8939153682
1167,2004,Nyala town,15.0,48.8939153682
2401,2004,"Magwe village, Torit village (between)",2.0,48.8939153682
1159,2004,Northern Darfur,80.0,48.8939153682
1151,2004,Western Darfur state,12.0,48.8939153682
1150,2004,Shataya village,1715.0,48.8939153682
1149,2004,Anka town,15.0,48.8939153682
1148,2004,Kailek town,13.0,48.8939153682
1147,2004,Kailek town,14.0,48.8939153682
1146,2004,Shataya village,85.0,48.8939153682
1145,2004,Darfur,0.0,48.8939153682
1144,2004,Nouri village,130.0,48.8939153682
1152,2004,Western Darfur state,26.0,48.8939153682
1153,2004,Kailek town,653.0,48.8939153682
1154,2004,Tullus town,27.0,48.8939153682
1155,2004,Nouri village,38.0,48.8939153682
1156,2004,Kutum town,24.0,48.8939153682
1157,2004,Mileibida town,31.0,48.8939153682
1158,2004,Anka town,15.0,48.8939153682
1160,2004,Kailek town,0.0,48.8939153682
1208,2004,Fasha El Um village,15.0,48.8939153682
1168,2004,Deleig town,120.0,48.8939153682
1170,2004,Wadi Salih locality,145.0,48.8939153682
1191,2004,Moraia Jenge village,1.0,48.8939153682
1193,2004,Southern Darfur state,20.0,48.8939153682
1194,2004,Abu Neira village,12.0,48.8939153682
1195,2004,Ganjo village,5.0,48.8939153682
1196,2004,Abu Dileig village,14.0,48.8939153682
1197,2004,Bindisi town,7.0,48.8939153682
1198,2004,Southern Sudan,3.0,48.8939153682
1199,2004,Upper Nile state,2.0,48.8939153682
1200,2004,Yassin village,64.0,48.8939153682
1201,2004,Hashaba town,8.0,48.8939153682
1202,2004,Darfur,2.0,48.8939153682
1203,2004,Darfur,0.0,48.8939153682
1204,2004,Abu Dileig village,4.0,48.8939153682
1205,2004,Northern Darfur state,90.0,48.8939153682
1206,2004,Ailliet town,20.0,48.8939153682
1190,2004,Musobikira village,1.0,48.8939153682
1169,2004,Deleig town,72.0,48.8939153682
1189,2004,Tonga town,1.0,48.8939153682
1187,2004,Ganjo village,8.0,48.8939153682
1171,2004,Upper Nile state,5.0,48.8939153682
1172,2004,Obay town,4.0,48.8939153682
1173,2004,Geneina town/Al-Junaynah town,12.0,48.8939153682
1174,2004,Sheiria town,6.0,48.8939153682
1175,2004,Hashaba town,25.0,48.8939153682
1176,2004,Korma town,49.0,48.8939153682
1177,2004,Darfur,0.0,48.8939153682
1178,2004,Geneina town/Al-Junaynah town,32.0,48.8939153682
1179,2004,Southern Darfur state,9.0,48.8939153682
1180,2004,Tabit village,12.0,48.8939153682
1182,2004,Darfur,0.0,48.8939153682
1183,2004,Jebel Mun area,13.0,48.8939153682
1184,2004,Nyilwal town,1.0,48.8939153682
1185,2004,Northern Darfur state,10.0,48.8939153682
1186,2004,Darfur,0.0,48.8939153682
1188,2004,Tonga town,6.0,48.8939153682
2402,2004,Juba town,86.0,48.8939153682
1192,2004,Duraysah/Dereisa village,150.0,48.8939153682
2253,2004,Western Darfur state,5.0,48.8939153682
2257,2004,Darfur,0.0,48.8939153682
2256,2004,Umm Boum village,2.0,48.8939153682
2255,2004,Diiba town,2.0,48.8939153682
2254,2004,Sisi town,1.0,48.8939153682
635,2004,Al-Fashir town,4.0,48.8939153682
2252,2004,Miski town,3.0,48.8939153682
2251,2004,Darfur,0.0,48.8939153682
2258,2004,Muhajiriya town,50.0,48.8939153682
626,2004,Karnoi wells,50.0,48.8939153682
2225,2004,Qarqar'a village,4.0,48.8939153682
2226,2004,Darfur,0.0,48.8939153682
2227,2004,Yoyo town,67.0,48.8939153682
2228,2004,Southern Darfur state,0.0,48.8939153682
2229,2004,Abun village,1.0,48.8939153682
2230,2004,Kudumuli town,2.0,48.8939153682
2231,2004,Darfur,0.0,48.8939153682
2224,2004,Darfur,0.0,48.8939153682
2232,2004,Al-Fashir town,20.0,48.8939153682
2259,2004,Labado village,50.0,48.8939153682
2261,2004,Malagat village,18.0,48.8939153682
617,2004,Jebel Marra area,700.0,48.8939153682
618,2004,Mukjar town,120.0,48.8939153682
619,2004,Terbeba village,31.0,48.8939153682
620,2004,Western Darfur state,200.0,48.8939153682
621,2004,Darfur,0.0,48.8939153682
622,2004,Nyala town,400.0,48.8939153682
623,2004,Khazan Gadid  village,125.0,48.8939153682
2260,2004,Sulaya town,2.0,48.8939153682
624,2004,Taweelah village,3.0,48.8939153682
2268,2004,Darfur,0.0,48.8939153682
2267,2004,Darfur,16.0,48.8939153682
2266,2004,Darfur,0.0,48.8939153682
2265,2004,Zalingei town,30.0,48.8939153682
2264,2004,Darfur,5.0,48.8939153682
2263,2004,Abu Surug village,6.0,48.8939153682
2262,2004,Darfur,0.0,48.8939153682
625,2004,Al-Tawishah village,3.0,48.8939153682
2233,2004,Al Kuraynik village,15.0,48.8939153682
2234,2004,Northern Darfur state,6.0,48.8939153682
2235,2004,Darfur,45.0,48.8939153682
646,2004,Tawila town,37.0,48.8939153682
645,2004,Al-Fashir town,1.0,48.8939153682
644,2004,Jebel Marra area,1.0,48.8939153682
643,2004,Road between Nyala and Zalingei,3.0,48.8939153682
642,2004,Menawashe town,3.0,48.8939153682
641,2004,Southern Darfur state,2.0,48.8939153682
640,2004,Abukarinka military camp,10.0,48.8939153682
647,2004,Kalma refugee camp,0.0,48.8939153682
639,2004,Ghubaysh village,0.0,48.8939153682
637,2004,Saiyah town,4.0,48.8939153682
629,2004,Jebel Marra area,120.0,48.8939153682
630,2004,Buram town,2.0,48.8939153682
631,2004,Western Darfur state,23.0,48.8939153682
632,2004,Korma town,6.0,48.8939153682
633,2004,Sani Afendu village,4.0,48.8939153682
634,2004,Ambara town,38.0,48.8939153682
638,2004,Umm Keddada locality,4.0,48.8939153682
648,2004,Tabit village,25.0,48.8939153682
649,2004,Marla village,6.0,48.8939153682
650,2004,Northern Darfur state,3.0,48.8939153682
2236,2004,Abu Ajurah town,20.0,48.8939153682
2237,2004,Abu Ajurah town,2.0,48.8939153682
2238,2004,Darfur,0.0,48.8939153682
2239,2004,Northern Darfur state,3.0,48.8939153682
2240,2004,Sane Delebah village,12.0,48.8939153682
2241,2004,Nyala town,56.0,48.8939153682
2242,2004,Nyala town,46.0,48.8939153682
2243,2004,Darfur,0.0,48.8939153682
2244,2004,Golo town,6.0,48.8939153682
2245,2004,Darfur,0.0,48.8939153682
2246,2004,Sulaya town,8.0,48.8939153682
2247,2004,Southern Darfur state,3.0,48.8939153682
2248,2004,Tabldiat village,80.0,48.8939153682
2249,2004,Darfur,17.0,48.8939153682
2250,2004,Baraka village,13.0,48.8939153682
627,2004,Nyala town,215.0,48.8939153682
628,2004,Al-Fashir town,140.0,48.8939153682
616,2004,Ayn Siro town,10.0,48.8939153682
615,2004,Tina village,660.0,48.8939153682
636,2004,Northern Darfur state,2.0,48.8939153682
613,2004,Abun village,0.0,48.8939153682
882,2004,Southern Sudan,12.0,48.8939153682
883,2004,Sudan-Uganda border,9.0,48.8939153682
884,2004,Juba town,120.0,48.8939153682
885,2004,Southern Sudan,3.0,48.8939153682
886,2004,Southern Sudan,20.0,48.8939153682
887,2004,Bahr-al-Jabal state,30.0,48.8939153682
888,2004,Katire town,5.0,48.8939153682
889,2004,Kit village,2.0,48.8939153682
890,2004,Kit village,2.0,48.8939153682
891,2004,Parajok village,14.0,48.8939153682
892,2004,Southern Sudan,12.0,48.8939153682
893,2004,Imatong Mountains,6.0,48.8939153682
894,2004,Imatong Mountains,30.0,48.8939153682
