GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Average
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",2014,Sudan,Both sexes,319.392175
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2014,Sudan,Both sexes,14.85103
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2014,Sudan,Spirits,0.02
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0.00011
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-4 years,0.8206
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Male,306.95486
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",2014,Sudan,Male,2.071975
HIV_0000000011,Reported number of children receiving antiretroviral therapy,2014,Sudan,,0
NTCP_govt_obj,Government objectives on tobacco control exist,2014,Sudan,,0
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,2.94968
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0.00024
TB_new_sp,"New cases: Pulmonary, smear-positive",2014,Sudan,,9958
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Rural,0.15268
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",2014,Sudan,,1
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2014,Sudan,Male,4.91146
WHOSIS_000001,Life expectancy at birth (years),2014,Sudan,Female,69.7097
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-4 years,0.83513
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0.02823
SDGSUICIDE,Crude suicide rates (per 100 000 population),2014,Sudan,Both sexes,4.585
HIV_0000000009,Reported number of people receiving antiretroviral therapy,2014,Sudan,,8803
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2014,Sudan,Male,0.00384
FINPROTECTION_IMP_P365_POP,"Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",2014,Sudan,Total,41.23
HIV_0000000009,Reported number of people receiving antiretroviral therapy,2014,Sudan,,0
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Rural,0.6
SDGHIV,New HIV infections (per 1000 uninfected population),2014,Sudan,Female,0.085
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2014,Sudan,Total,45.81904
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,2014,Sudan,,1800
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Male,94760.36146
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),2014,Sudan,Both sexes,0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2014,Sudan,Male,92.85105
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",2014,Sudan,,0
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,Sudan,Male,18.3
CM_01,Number of under-five deaths,2014,Sudan,Female,31165.5
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Male,399063.941
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2014,Sudan,Both sexes,1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.16776
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Total,1.15
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2014,Sudan,Male,7.349145
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),2014,Sudan,,121
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2014,Sudan,Both sexes,100.596005
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,8.00E-05
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2014,Sudan,Total,41.7
WHS3_56,Neonatal tetanus - number of reported cases,2014,Sudan,,21
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.05217
NCD_DTH_TOT,Total NCD Deaths (in thousands),2014,Sudan,Both sexes,102451.59
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2014,Sudan,Both sexes,2.9
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2014,Sudan,Male,0.00096
W6_font_A,"Does the law mandate font style, font size and colour of health warnings on cigarette packaging?",2014,Sudan,,0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2014,Sudan,Male,9.10814
NCD_CCS_CRDPlan,Existence of operational policy/strategy/action plan for chronic respiratory diseases,2014,Sudan,,0
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2014,Sudan,Female,5.136355
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Both sexes,4860.40207
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2014,Sudan,Female,111.639065
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2014,Sudan,,84
W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,2014,Sudan,,0
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2014,Sudan,Male,22.779235
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,5.54852
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Female,288807.3599
TB_new_snsuoth,"New cases: Pulmonary, smear-negative/unknown/not done and other new cases",2014,Sudan,,7871
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2014,Sudan,Both sexes,134.483155
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2014,Sudan,Male,4.101095
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,Sudan,Total,33.1
LIFE_0000000034,Tx - person-years lived above age x,2014,Sudan,Male,3514575.758
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),2014,Sudan,Alcoholic,0
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Total,0.060375
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Total,0.263645
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,1.295785
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),2014,Sudan,,44.94618
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2014,Sudan,Both sexes,0.01781
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2014,Sudan,Female,14.7357
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0.00023
SDGHIV,New HIV infections (per 1000 uninfected population),2014,Sudan,Female,0.095
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,Sudan,Both sexes,16.92404
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2014,Sudan,0 to 5 months,6.7
W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages,2014,Sudan,,0
TB_ret_rel_ep,Relapse cases: extrapulmonary,2014,Sudan,,63
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2014,Sudan,Male,1203.71495
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Both sexes,4320.77784
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2014,Sudan,Urban,70.4
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,15.32384
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.06958
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,Sudan,0 to 11 months,20.1
HIV_0000000006,Number of people dying from HIV-related causes,2014,Sudan,,1750
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2014,Sudan,Female,31.1253
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-27 days,1.92541
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Total,21.66902
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,0.23133
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2014,Sudan,Female,15.552385
MORT_100,Number of deaths,2014,Sudan,Both sexes,2388.38999
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2014,Sudan,Female,4920
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0.04505
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2014,Sudan,,0.59
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2014,Sudan,Both sexes,15.190285
RSUD_810,Continuing professional development in treatment,2014,Sudan,Psychiatrists,0
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2014,Sudan,Moderate,130.65
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Urban,0.1253
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2014,Sudan,Female,15.23736
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2014,Sudan,Both sexes,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.02532
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,Sudan,Male,16.3
CM_04,Number of deaths among children ages 5 to 9 years,2014,Sudan,Female,5829.5
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2014,Sudan,Female,1.05
TB_ret_rel,Relapse cases (pre-2013 definition),2014,Sudan,,957
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,0.5877
RSUD_880,Epidemiological data collection system for substance use among children and adolescents,2014,Sudan,Drugs,0
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Both sexes,3714.9629
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,3.810485
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2014,Sudan,Male,4.78943
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2014,Sudan,Other alcoholic beverages,0
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Urban,5.351805
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2014,Sudan,Female,41.244565
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2014,Sudan,Female,0.06369
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Male,10.36325
P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES,2014,Sudan,,0
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2014,Sudan,Male,1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2014,Sudan,Both sexes,16.198775
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-4 years,3.95114
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2014,Sudan,Female,39.95
LIFE_0000000034,Tx - person-years lived above age x,2014,Sudan,Female,3179660.133
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2014,Sudan,Male,0.01991
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2014,Sudan,Both sexes,0
CM_02,Number of infant deaths,2014,Sudan,Both sexes,76951
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0
CM_01,Number of under-five deaths,2014,Sudan,Male,40888.5
MORT_100,Number of deaths,2014,Sudan,Both sexes,9414.30496
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2014,Sudan,Both sexes,0.03959
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,2014,Sudan,Representative of the tobacco industry,0
MORT_100,Number of deaths,2014,Sudan,Both sexes,773
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-27 days,0.28254
AIR_17,Household air pollution attributable DALYs (per 100 000 population),2014,Sudan,Male,587.343855
W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages,2014,Sudan,,0
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2014,Sudan,Both sexes,47.23354
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,2014,Sudan,,68
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2014,Sudan,Both sexes,28.50408
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2014,Sudan,Mild,1396
MH_25,Stand-alone policy or plan for mental health,2014,Sudan,,0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2014,Sudan,Female,9.79129
CARE_SOURCE,Care-seeking by type of patient and source of care (%),2014,Sudan,Outpatient,0
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Both sexes,283.9486
CM_01,Number of under-five deaths,2014,Sudan,Male,47258.5
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2014,Sudan,Both sexes,0.00339
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2014,Sudan,Male,5668.5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.00682
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0.40168
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Male,10.265185
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Urban,32.3
SDGSUICIDE,Crude suicide rates (per 100 000 population),2014,Sudan,Female,3.405
Adult_daily_smokeless,Prevalence of daily smokeless tobacco use among adults (%),2014,Sudan,Female,0.1
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2014,Sudan,Female,3377.95425
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2014,Sudan,Total,17.27
LIFE_0000000031,lx - number of people left alive at age x,2014,Sudan,Both sexes,85600.09439
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2014,Sudan,Both sexes,13.141895
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),2014,Sudan,,3.66
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,Sudan,Female,12.29929
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2014,Sudan,Female,35.984455
MORT_100,Number of deaths,2014,Sudan,Both sexes,929.70726
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Total,56.45
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,2014,Sudan,,0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2014,Sudan,Female,5.121945
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-4 years,5.15741
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),2014,Sudan,,7.92
Yth_curr_smokeless,Prevalence of current smokeless tobacco use among adolescents (%),2014,Sudan,Both sexes,4.9
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2014,Sudan,,140.53424
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,Sudan,Rural,37.1
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,3.272285
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,2014,Sudan,Representative of the tobacco industry,0
CM_03,Number of neonatal deaths,2014,Sudan,Both sexes,41489.5
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2014,Sudan,Female,0
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2014,Sudan,Male,0.00248
MORT_100,Number of deaths,2014,Sudan,Both sexes,5010.03849
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Male,3329.53187
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2014,Sudan,Moderate,31.85
WHS3_49,Poliomyelitis - number of reported cases,2014,Sudan,,1
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2014,Sudan,Female,35.88452
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Female,645.5651
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,4.320895
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,Sudan,Female,31.6
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2014,Sudan,Male,3048.82981
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,1-59 months,0.29377
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Total,0.12365
W2_pc_front_back_A,Percentage of principal display area mandated to be covered by health warnings - front and back of cigarette packaging,2014,Sudan,,15
GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,2014,Sudan,,2.31
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2014,Sudan,Female,6.02091
LIFE_0000000031,lx - number of people left alive at age x,2014,Sudan,Male,60122.95826
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Female,195852.6075
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,Sudan,Both sexes,11.487375
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level,2014,Sudan,,0
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2014,Sudan,Spirits,0.06
W6_font_A,"Does the law mandate font style, font size and colour of health warnings on cigarette packaging?",2014,Sudan,,0
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,Sudan,Female,11.27784
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2014,Sudan,Both sexes,2.412655
W9_no_obscure_A,Health warnings on cigarette packaging must not be obscured in any way including by required markings such as tax stamps,2014,Sudan,,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.0666
SDGPM25,Concentrations of fine particulate matter (PM2.5),2014,Sudan,Total,26.437205
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2014,Sudan,Both sexes,9705
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-4 years,0.00572
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,2014,Sudan,,137112
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",2014,Sudan,Female,96.08444
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0.0118
DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,2014,Sudan,,0
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2014,Sudan,,4797856
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,Sudan,Male,18.263455
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2014,Sudan,Wine,0
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014,Sudan,Female,12.3
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,Sudan,0-27 days,0.00666
WSH_SANITATION_OD,Population practising open defecation (%),2014,Sudan,Total,50.35336
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2014,Sudan,Female,3714.7125
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2014,Sudan,Male,0.00681
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2014,Sudan,Both sexes,10.90521
WSH_SANITATION_OD,Population practising open defecation (%),2014,Sudan,Rural,65.16361
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Sudan,Rural,0.913345
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Both sexes,388917.2758
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Rural,37.6
MORT_100,Number of deaths,2014,Sudan,Both sexes,0
O_Varen_sold,Varenicline - legally sold,2014,Sudan,,0
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2014,Sudan,Both sexes,0.00675
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",2014,Sudan,Male,0
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2014,Sudan,Female,52.957165
MORT_100,Number of deaths,2014,Sudan,Both sexes,4.0824
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2014,Sudan,Mild,22.3
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,Sudan,Female,8.503335
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Rural,2.971695
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2014,Sudan,,51
MORT_100,Number of deaths,2014,Sudan,Both sexes,8721.66006
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2014,Sudan,Male,5.226745
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Rural,0.35
NTCP_FTE,Number of full-time equivalent staff in national agency,2014,Sudan,,5
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Female,209706.2518
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2014,Sudan,Both sexes,3164
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2014,Sudan,Both sexes,3.87741
RS_210,Applicability of seat-belt law to all occupants,2014,Sudan,,0
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2014,Sudan,Both sexes,2.95
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2014,Sudan,Female,0.04052
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2014,Sudan,Both sexes,13.31404
MORT_100,Number of deaths,2014,Sudan,Both sexes,525.63355
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,9.13864
LIFE_0000000031,lx - number of people left alive at age x,2014,Sudan,Male,91914.12153
MORT_100,Number of deaths,2014,Sudan,Both sexes,0
LIFE_0000000031,lx - number of people left alive at age x,2014,Sudan,Both sexes,84371.74793
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2014,Sudan,Female,0.02677
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2014,Sudan,Urban,67.4
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,0
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2014,Sudan,Female,1.05
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014,Sudan,Urban,2.65732
CM_02,Number of infant deaths,2014,Sudan,Male,32708.5
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2014,Sudan,Both sexes,4.510985
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2014,Sudan,Both sexes,3.232355
LIFE_0000000035,ex - expectation of life at age x,2014,Sudan,Male,25.68712
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Total,0.2
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Rural,3.75
RSUD_590,Prevention programmes for specific populations for alcohol,2014,Sudan,Pregnant women,0
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Sudan,Urban,0.74817
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2014,Sudan,Female,363899.0699
MORT_200,Deaths per 1 000 live births,2014,Sudan,1-59 months,1.02721
LIFE_0000000031,lx - number of people left alive at age x,2014,Sudan,Both sexes,87290.80819
W18_misleading_terms_A,Ban on deceitful terms on cigarette packaging,2014,Sudan,,0
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2014,Sudan,Female,3.40236
MORT_200,Deaths per 1 000 live births,2014,Sudan,0-27 days,0.34156
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2014,Sudan,Rural,0.4
